epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,390.307,1.07934,1.84988,1.08592,0.69904,0.41973,0.43124,0.349,0.67165,0.89148,0.90728,0.00332764,0.00332764,0.00332764
2,774.769,0.94635,1.14312,0.99213,0.69177,0.4693,0.51206,0.40839,0.68341,0.77223,0.89214,0.00659503,0.00659503,0.00659503
3,1157.93,0.98279,1.10312,0.99843,0.62487,0.4658,0.5023,0.39258,0.74209,0.79248,0.91352,0.00979641,0.00979641,0.00979641
4,1540.82,0.98582,1.08524,1.00681,0.66012,0.50379,0.52477,0.42215,0.6476,0.69043,0.89056,0.009703,0.009703,0.009703
5,1924.3,0.9233,0.99767,0.98738,0.70105,0.47682,0.54295,0.43165,0.62361,0.6505,0.883,0.009604,0.009604,0.009604
6,2307.39,0.87362,0.93619,0.97204,0.71654,0.51608,0.56479,0.46156,0.57437,0.60561,0.8617,0.009505,0.009505,0.009505
7,2691.52,0.85403,0.90614,0.96576,0.64888,0.53807,0.55733,0.46224,0.59271,0.58844,0.86546,0.009406,0.009406,0.009406
8,3075.52,0.83277,0.87256,0.96042,0.54956,0.57431,0.58474,0.4899,0.53487,0.54321,0.85171,0.009307,0.009307,0.009307
9,3459.03,0.80877,0.84041,0.95036,0.67797,0.56082,0.5942,0.49733,0.52391,0.51797,0.8419,0.009208,0.009208,0.009208
10,3843.45,0.79553,0.82603,0.94671,0.6519,0.56609,0.59679,0.50261,0.50506,0.5062,0.8428,0.009109,0.009109,0.009109
11,4227.42,0.78503,0.80356,0.94247,0.67268,0.5885,0.61555,0.51706,0.49885,0.49591,0.83957,0.00901,0.00901,0.00901
12,4611.42,0.76598,0.7855,0.9366,0.73622,0.56105,0.59773,0.50348,0.49355,0.48642,0.83513,0.008911,0.008911,0.008911
13,4994.86,0.7554,0.77014,0.93507,0.57491,0.59587,0.60756,0.51592,0.47761,0.47317,0.83234,0.008812,0.008812,0.008812
14,5377.7,0.75181,0.75764,0.93278,0.759,0.55504,0.61444,0.51972,0.48227,0.46939,0.83243,0.008713,0.008713,0.008713
15,5761.79,0.74507,0.74985,0.93188,0.63471,0.56772,0.6115,0.52268,0.48272,0.4644,0.83116,0.008614,0.008614,0.008614
16,6146.77,0.73514,0.73279,0.92953,0.71853,0.59864,0.62989,0.53651,0.46608,0.43622,0.82597,0.008515,0.008515,0.008515
17,6531.85,0.7219,0.71614,0.92386,0.76584,0.56855,0.64027,0.54898,0.45777,0.42284,0.82736,0.008416,0.008416,0.008416
18,6916.87,0.72205,0.71388,0.92422,0.67119,0.62358,0.64346,0.55253,0.45078,0.421,0.82403,0.008317,0.008317,0.008317
19,7301.14,0.71105,0.69394,0.91839,0.68402,0.59473,0.62111,0.53745,0.44266,0.41655,0.82109,0.008218,0.008218,0.008218
20,7684.35,0.71078,0.69641,0.92018,0.62978,0.61779,0.62648,0.54019,0.45619,0.41531,0.82053,0.008119,0.008119,0.008119
21,8067.08,0.70253,0.68691,0.91963,0.74575,0.62039,0.66412,0.57456,0.43266,0.39378,0.81728,0.00802,0.00802,0.00802
22,8450.04,0.6925,0.67128,0.9136,0.69494,0.63284,0.69797,0.61054,0.43213,0.39759,0.81788,0.007921,0.007921,0.007921
23,8833.12,0.69356,0.66691,0.9132,0.78004,0.61985,0.69241,0.60476,0.42681,0.38161,0.81595,0.007822,0.007822,0.007822
24,9217.5,0.69076,0.66324,0.91462,0.80366,0.5861,0.65012,0.56493,0.42747,0.38353,0.81635,0.007723,0.007723,0.007723
25,9601.18,0.68783,0.65562,0.91263,0.75132,0.63262,0.67192,0.57791,0.42579,0.37287,0.81427,0.007624,0.007624,0.007624
26,9985.33,0.68417,0.64545,0.91172,0.842,0.61215,0.69552,0.60475,0.41888,0.36838,0.81312,0.007525,0.007525,0.007525
27,10370,0.67673,0.63961,0.90997,0.80857,0.59705,0.70005,0.61529,0.42319,0.36177,0.8125,0.007426,0.007426,0.007426
28,10754.4,0.66895,0.63359,0.90925,0.69958,0.6475,0.67723,0.58609,0.41003,0.35825,0.81082,0.007327,0.007327,0.007327
29,11138.9,0.67124,0.62697,0.90743,0.74583,0.65556,0.69419,0.59784,0.41728,0.35344,0.81244,0.007228,0.007228,0.007228
30,11522.9,0.66799,0.62653,0.90499,0.77107,0.6441,0.70052,0.60563,0.41119,0.35782,0.80986,0.007129,0.007129,0.007129
31,11906.7,0.665,0.61713,0.90447,0.77061,0.62826,0.7163,0.62009,0.40334,0.34401,0.80721,0.00703,0.00703,0.00703
32,12292.9,0.65948,0.61247,0.90341,0.73738,0.65844,0.70631,0.61417,0.39911,0.33949,0.80486,0.006931,0.006931,0.006931
33,12676.9,0.65877,0.60638,0.90384,0.78493,0.61694,0.70169,0.6142,0.39175,0.33594,0.80482,0.006832,0.006832,0.006832
